"modima_p_value","medtest_p_value","ccmm_CI_lower","ccmm_CI_upper","sparsemcmm_ome_p_value.OME","ldm_p_value","permanova_p_value","microbvs_result.2.5%","microbvs_result.97.5%"
0.074,0.239,-3.96158515798291,13.8228459113341,1,0.2181,0.023976023976024,-0.365472885004015,0.965714321365861
0.012,0.018,-14.5250934779514,2.75156558675326,1,0.0002999700029997,0.000999000999000999,-0.0824196366337792,0.109583011555109
0.007,0.292,-1.7417417210006,15.2604075120781,1,9.99900009999e-05,0.003996003996004,-0.0351824969046399,0.25741454650954
0.002,0.051,-3.80999498541325,-1.19346801134397,NA,0.1081,0.0629370629370629,-0.570453948674713,0.684961974192885
0.087,0.14,-6.45444864752349,3.49716105111781,0.909090909090909,0.0028997100289971,0.0979020979020979,-0.488774795029051,1.19565121118607
0.025,0.015,-3.67926709992532,-0.435635298520421,0.636363636363636,0.0054994500549945,0.010989010989011,-0.367458432955369,0.148660479881194
0.683,0.824,-6.94128074043483,6.18677113639567,0.818181818181818,0.9993,0.831,-1.55848725200619,0.474737206165958
0.39,0.691,-1.94457219225556,4.37597654892578,1,0.9932,0.8475,-1.23188110842057,0.982282764217387
0.052,0.007,0.843734817811225,3.43901007749179,0.0909090909090909,0.0356,0.017982017982018,-1.48106002799223,1.3647646217831
0.742,0.841,-6.95505463557318,5.75160732193777,0.818181818181818,0.9916,0.824,-3.14986970656869e-06,2.83217504855976
0.001,0.036,-2.80652965979313,0.309707838494498,0.181818181818182,0.0703,0.00899100899100899,-0.467149802111498,1.07279482099963
0.009,0.002,0.232374986715078,2.3644099768717,0.0909090909090909,9.99900009999e-05,0.00699300699300699,-0.559774624856913,1.22063989466883
0.274,0.76,-1.10043708833918,2.73102078892343,0.363636363636364,0.8706,0.347,-0.186069597659578,0.240084138810465
0.679,0.564,-0.0807361950720214,1.82869357218037,0.909090909090909,0.8892,0.768,-0.210042055825564,0.255172174047682
0.185,0.654,-2.54498388899604,2.32414471915207,0.818181818181818,0.9896,0.36,-0.958266777004289,0.368289400877247
0.997,0.976,0.410578929734196,3.54906234105604,0.636363636363636,0.0056994300569943,0.894,-0.0374805852126448,0.0510354872606602
0.043,0.183,-5.93472954193054,2.08185691239766,0.272727272727273,0.0085991400859914,0.025974025974026,-0.4326272232107,0.530233821887405
0.05,0.478,-0.133787634627058,2.44274089735499,1,0.2608,0.043956043956044,-0.0571067782211885,0.171020787084108
0.001,0.364,-5.51432245756094,-0.144832661651283,0.272727272727273,0.4,0.272,-0.892375166442712,2.57638174815373
0.403,0.656,1.71673326571704,9.56691219952049,0.454545454545455,0.5686,0.383,-2.45450327884822,0.873368910855004
0.325,0.321,-0.454287583520934,1.38170871524625,0.181818181818182,0.3791,0.292,-0.319385160424817,0.258791547931701
0.085,0.708,-0.870707075595954,1.48420161161969,0.0909090909090909,0.1761,0.0879120879120879,-0.559684684234069,0.556779624152251
0.001,0.045,-2.5058341466374,1.01668930169907,0.0909090909090909,0.8545,0.000999000999000999,-1.28199177496404,1.1754712635061
0.001,0.192,-1.85526269477973,2.3788567234341,0.818181818181818,0.0001999800019998,0.000999000999000999,-0.687226497922187,0.587073934131656
0.224,0.597,-0.196155937022387,0.63490267834692,0.545454545454545,0.078,0.272,-0.475804801700417,0.151794248872777
0.038,0.009,-2.73370105484973,2.05544213741498,0.545454545454545,0.6326,0.00699300699300699,-0.43530386327488,0.381477506273933
0.001,0.23,-1.63925078334132,0.41684042815498,0.0909090909090909,0.2604,0.028971028971029,-0.47226940264939,0.557427300502182
0.001,0.007,0.970700028249631,2.40901273700596,0.0909090909090909,0.2998,0.002997002997003,-0.311593323915641,0.391811071027079
0.917,0.811,-0.337071229423054,1.132606318636,0.8738,0.945,-0.511696434674642,0.111696441833811,0.917
0.39,0.706,-1.06182589528053,1.0651833320885,0.363636363636364,0.7761,0.336,-0.648723215370427,0.332609763787986
